Name,Type,Sector,R_ann,Sigma_ann,Beta,Sharpe,Treynor,Jensen_Alpha,Rank_Sharpe,Rank_Treynor,Rank_Jensen_Alpha
AAPL,Asset,Technology,0.17987095372038003,0.24358566490278355,0.8646610097049754,0.5959544202993908,0.16788770638554762,0.10470976394652404,4.0,2.0,2.0
JPM,Asset,Financials,0.19582614667263135,0.23679245182595873,1.2358792705832957,0.6804319370410278,0.13036964896788608,0.1032962121062487,3.0,4.0,3.0
XOM,Asset,Energy,0.27292326047460924,0.268562462755298,0.633852324274867,0.8870124962015373,0.37582612124540704,0.20856126237750147,2.0,1.0,1.0
PG,Asset,Consumer Staples,0.06178090074455604,0.18472267413130278,0.6149074043278657,0.14657594619548556,0.04403248449114349,-0.0016946930067747445,6.0,6.0,6.0
PORT,Portfolio,(blend),0.17294770006533275,0.14352471099822345,0.8488654364942564,0.9631978988415726,0.16285584749010823,0.09852556143432603,1.0,3.0,4.0
MKT,Market,^NYA,0.0814934978272118,0.14370604801963052,1.0,0.3255847507602492,0.046788497827211804,0.0,5.0,5.0,5.0
RF,RiskFree,TB3MS,0.03470499999999999,0.0,0.0,,,0.0,,,5.0
