Asset,CAPM_R2,APT_R2,Δ_R2 (APT-CAPM)
AAPL,0.2652780955112435,0.009492519639766939,-0.25578557587147654
JPM,0.5798475996832022,0.021614593576756325,-0.5582330061064459
PG,0.22726882339741494,0.022997938184309508,-0.20427088521310544
XOM,0.12177384905719901,0.03563140110617613,-0.08614244795102288
