Asset,Sector,Alpha,Beta_F1_Inflation,Beta_F2_RateShock,R2,F_stat,p_F,p_Alpha,p_F1,p_F2
AAPL,Technology,0.009688322377736019,-0.004379187831934173,-0.004609219537943562,0.009492519639766939,0.2731294968463732,0.7619845250353646,0.28919659632125716,0.6361497921512084,0.6185640832663335
JPM,Financials,0.011130295909803387,-0.009893542720637753,0.002067261634001212,0.021614593576756325,0.6296250055380238,0.5364559113306403,0.20601756974166516,0.2681005943190156,0.8160676217256921
PG,Consumer Staples,0.0009178737784645442,-0.008095541297222767,0.0018524376568817037,0.022997938184309508,0.6708698618657242,0.5152537801252017,0.8947962601650487,0.2540074597536252,0.792983795247443
XOM,Energy,0.01689373514740741,0.011687465399350672,0.006625178034630563,0.03563140110617613,1.0530153436049654,0.3555717351325728,0.08595437342279913,0.2393551993622025,0.5030232819327835
