,MKT
2021-05-31,0.020524301129500523
2021-06-30,-1.8757922347077295e-05
2021-07-31,0.0028312923574507712
2021-08-31,0.012221532562349157
2021-09-30,-0.04015666948496276
2021-10-31,0.05257273749488809
2021-11-30,-0.04184996371604685
2021-12-31,0.05049357311738546
2022-01-31,-0.029824988176201588
2022-02-28,-0.020979932353781778
2022-03-31,0.021648423096804537
2022-04-30,-0.06541729287413309
2022-05-31,0.013472488310695595
2022-06-30,-0.08842464130830895
2022-07-31,0.056366451020996654
2022-08-31,-0.03495132199781053
2022-09-30,-0.09408418161911551
2022-10-31,0.09041492986077275
2022-11-30,0.06770282801809492
2022-12-31,-0.038481923550115434
2023-01-31,0.05459786325245649
2023-02-28,-0.0386135994948813
2023-03-31,-0.0035099231666483486
2023-04-30,0.011058674033089388
2023-05-31,-0.04329791479900028
2023-06-30,0.06430514639880335
2023-07-31,0.03414104338364263
2023-08-31,-0.026332064899656237
2023-09-30,-0.0383605879355907
2023-10-31,-0.03160227923440968
2023-11-30,0.07547686709859443
2023-12-31,0.046396338305333774
2024-01-31,0.0034498433288656857
2024-02-29,0.04034891844350227
2024-03-31,0.03927221144172752
2024-04-30,-0.03950451785381914
2024-05-31,0.02692174892826198
2024-06-30,-0.0031674993571899333
2024-07-31,0.03721576477095354
2024-08-31,0.030643786240546797
2024-09-30,0.011554710808572935
2024-10-31,-0.014320329945745506
2024-11-30,0.0523057211597736
2024-12-31,-0.059706079886369993
2025-01-31,0.046136816829884665
2025-02-28,0.001467466396685818
2025-03-31,-0.032081144825435226
2025-04-30,-0.01462598974213702
2025-05-31,0.03443033482691498
2025-06-30,0.03211846630102873
2025-07-31,0.0014130641548464969
2025-08-31,0.033313955314248474
2025-09-30,0.019340815672464956
2025-10-31,-0.004879086181797635
2025-11-30,0.016869808400610743
2025-12-31,0.008180081809593707
2026-01-31,0.03199504785384238
2026-02-28,0.03354766671524904
2026-03-31,-0.061664574714398054
2026-04-30,0.04666404782993814
