Date,AAPL,JPM,PG,XOM,^NYA
2020-05-19,75.7977294921875,75.6854248046875,96.63247680664062,33.93017578125,11248.9697265625
2020-05-20,77.27183532714844,77.9559097290039,97.3543701171875,35.0344123840332,11420.0400390625
2020-05-21,76.69574737548828,76.96576690673828,95.9277572631836,34.40894317626953,11351.599609375
2020-05-22,77.18954467773438,76.3682632446289,96.76995086669922,34.439823150634766,11331.9697265625
2020-05-26,76.66670989990234,81.78839874267578,96.28010559082031,35.4514045715332,11603.0
2020-05-27,77.00074005126953,86.52569580078125,97.87861633300781,35.70623016357422,11837.5302734375
2020-05-28,77.03463745117188,85.2367935180664,99.74354553222656,34.77959060668945,11804.91015625
2020-05-29,76.95958709716797,83.0602035522461,99.62322998046875,35.11163330078125,11802.9501953125
2020-06-01,77.9060287475586,84.16130828857422,100.76624298095703,35.73710632324219,11900.240234375
2020-06-02,78.26669311523438,84.44297790527344,101.46235656738281,36.532470703125,12046.41015625
2020-06-03,78.69756317138672,89.00101470947266,101.86628723144531,38.022804260253906,12302.1904296875
2020-06-04,78.0197982788086,90.85325622558594,99.7349624633789,37.91468811035156,12286.98046875
2020-06-05,80.24187469482422,94.9417953491211,101.69442749023438,40.988037109375,12641.4404296875
2020-06-08,80.71630096435547,96.83672332763672,102.31317901611328,42.26987075805664,12836.599609375
2020-06-09,83.26519775390625,94.35283660888672,101.70301818847656,41.327796936035156,12619.51953125
2020-06-10,85.40738677978516,90.52890014648438,102.4678955078125,39.11159133911133,12449.2197265625
2020-06-11,81.30694580078125,82.97484588623047,99.91542053222656,35.65989685058594,11659.169921875
2020-06-12,82.0089111328125,85.24532318115234,99.36542510986328,36.42436981201172,11867.169921875
2020-06-15,83.02310943603516,86.4232406616211,100.28498077392578,36.40119552612305,11942.91015625
2020-06-16,85.22340393066406,87.11463165283203,101.52252197265625,37.21971893310547,12161.4697265625
2020-06-17,85.10481262207031,84.91243743896484,101.35064697265625,36.00736999511719,12086.490234375
2020-06-18,85.1386947631836,84.45152282714844,102.51087951660156,36.231319427490234,12072.58984375
2020-06-19,84.65216827392578,83.48697662353516,102.20147705078125,35.50545120239258,11980.1201171875
2020-06-22,86.86695861816406,82.58222198486328,101.19595336914062,35.845218658447266,12028.91015625
2020-06-23,88.72113800048828,83.58942413330078,101.17877197265625,36.06142807006836,12077.740234375
2020-06-24,87.1550521850586,80.79827117919922,100.05292510986328,34.362606048583984,11726.5400390625
2020-06-25,88.31207275390625,83.61502075195312,101.31627655029297,34.879966735839844,11865.1103515625
2020-06-26,85.59862518310547,79.0313949584961,99.03023529052734,33.68307113647461,11604.4296875
2020-06-29,87.5713882446289,79.38135528564453,101.11861419677734,34.22361373901367,11777.080078125
2020-06-30,88.30236053466797,80.28612518310547,102.7601089477539,34.53248977661133,11893.7802734375
2020-07-01,88.1353530883789,79.603271484375,103.11244201660156,33.7525634765625,11901.5498046875
2020-07-02,88.1353530883789,79.8618392944336,103.88592529296875,34.03828430175781,11991.51953125
2020-07-06,90.49299621582031,81.87864685058594,104.5304946899414,34.27766036987305,12160.009765625
2020-07-07,90.21222686767578,79.56880187988281,105.03752899169922,33.38964080810547,11990.1396484375
2020-07-08,92.31327819824219,80.41344451904297,105.61334991455078,33.31242370605469,12086.3896484375
2020-07-09,92.71024322509766,78.67243957519531,105.26097869873047,31.93791389465332,11928.6298828125
2020-07-10,92.87240600585938,82.97322082519531,106.47276306152344,32.934051513671875,12075.580078125
2020-07-13,92.44398498535156,84.16263580322266,106.61026763916016,32.94175720214844,12014.669921875
2020-07-14,93.97378540039062,84.6452865600586,107.50404357910156,34.03055191040039,12014.669921875
2020-07-15,94.62008666992188,85.95533752441406,106.99698638916016,34.46299362182617,12391.3203125
2020-07-16,93.45577239990234,86.19666290283203,107.22045135498047,34.192718505859375,12350.1103515625
2020-07-17,93.26697540283203,84.60218048095703,107.96813201904297,33.60585403442383,12402.740234375
2020-07-20,95.23247528076172,83.86097717285156,107.6329574584961,32.818214416503906,12392.98046875
2020-07-21,93.9181137084961,85.67952728271484,107.48686218261719,34.47842788696289,12508.6796875
2020-07-22,94.18194580078125,85.0589828491211,108.40643310546875,33.675350189208984,12569.0703125
2020-07-23,89.8951187133789,85.3089370727539,109.10781860351562,33.74485778808594,12510.8701171875
2020-07-24,89.67241668701172,84.70561981201172,108.93485260009766,33.53635787963867,12461.7802734375
2020-07-27,91.79765319824219,83.51620483398438,109.24618530273438,34.03055191040039,12553.1298828125
2020-07-28,90.2896728515625,83.87820434570312,110.59534454345703,33.629024505615234,12491.2197265625
2020-07-29,92.0203857421875,85.91223907470703,110.96722412109375,33.99966812133789,12669.6201171875
2020-07-30,93.13385772705078,83.61962127685547,113.65686798095703,32.33173751831055,12533.2802734375
2020-07-31,102.8838882446289,83.29212188720703,113.39742279052734,32.493892669677734,12465.0498046875
2020-08-03,105.47631072998047,82.82670593261719,113.54441833496094,32.62516403198242,12536.8095703125
2020-08-04,106.18070983886719,82.35267639160156,115.70650482177734,33.56724548339844,12612.1103515625
2020-08-05,106.5655746459961,83.78340148925781,115.40384674072266,33.86068344116211,12731.5498046875
2020-08-06,110.28357696533203,83.80925750732422,114.77251434326172,33.69852066040039,12729.169921875
2020-08-07,107.77618408203125,85.6536865234375,115.49896240234375,33.54407501220703,12765.83984375
2020-08-10,109.34272003173828,86.73965454101562,115.974609375,34.37032699584961,12844.01953125
2020-08-11,106.09085083007812,89.48043060302734,115.22222137451172,34.72554397583008,12849.4296875
2020-08-12,109.6167221069336,88.72198486328125,117.15081787109375,34.71765899658203,12974.830078125
2020-08-13,111.55667114257812,88.230712890625,117.42755889892578,33.867244720458984,12919.150390625
2020-08-14,111.45724487304688,88.26518249511719,116.83946990966797,34.0168571472168,12902.5
2020-08-17,111.16626739501953,85.9381332397461,117.18541717529297,33.575889587402344,12936.1103515625
2020-08-18,112.09259033203125,84.7400894165039,118.05886840820312,33.41053009033203,12910.330078125
2020-08-19,112.23322296142578,84.93831634521484,117.41889953613281,33.040435791015625,12859.8798828125
2020-08-20,114.72361755371094,83.92130279541016,118.35295104980469,32.53648376464844,12812.8603515625
2020-08-21,120.6356201171875,83.87820434570312,118.86318969726562,32.292381286621094,12809.0703125
2020-08-24,122.0784683227539,86.23976135253906,119.78856658935547,33.245174407958984,12972.8798828125
2020-08-25,121.07695007324219,86.6189956665039,120.26421356201172,32.19001007080078,13001.990234375
2020-08-26,122.72350311279297,85.40373992919922,119.68478393554688,31.504968643188477,13042.5400390625
2020-08-27,121.25640869140625,88.21349334716797,119.52911376953125,31.2923583984375,13068.8095703125
2020-08-28,121.05998992919922,88.57543182373047,120.01342010498047,32.0404052734375,13170.9599609375
2020-08-31,125.16541290283203,86.351806640625,119.63286590576172,31.449840545654297,13045.599609375
2020-09-01,130.1510467529297,86.30872344970703,119.50316619873047,31.048255920410156,13113.740234375
2020-09-02,127.45452880859375,87.61016845703125,121.51824951171875,30.85926628112793,13276.740234375
2020-09-03,117.25041961669922,87.33433532714844,119.57233428955078,30.796274185180664,12966.1396484375
2020-09-04,117.3280029296875,89.22186279296875,119.3128890991211,30.772661209106445,12966.1396484375
2020-09-08,109.43243408203125,86.11911010742188,117.56593322753906,30.063968658447266,12688.0703125
2020-09-09,113.79732513427734,86.93787384033203,119.47720336914062,29.88285255432129,12885.7998046875
2020-09-10,110.08230590820312,86.04151153564453,118.22319793701172,29.134803771972656,12706.6904296875
2020-09-11,108.63703155517578,87.1102523803711,119.46857452392578,29.056060791015625,12773.0400390625
2020-09-14,111.89616394042969,88.31689453125,119.89234161376953,28.86707878112793,12932.6904296875
2020-09-15,112.07075500488281,85.56749725341797,119.89234161376953,28.55999183654785,12967.1796875
2020-09-16,108.76313781738281,85.92949676513672,119.08805084228516,29.772619247436523,12997.8603515625
2020-09-17,107.02688598632812,84.94695281982422,118.93236541748047,29.764747619628906,12948.4501953125
2020-09-18,103.63199615478516,84.76595306396484,118.80264282226562,29.284408569335938,12833.5703125
2020-09-21,106.77471160888672,82.14582061767578,118.23185729980469,28.685972213745117,12833.5703125
2020-09-22,108.45275115966797,81.24945831298828,119.3128890991211,27.97728157043457,12602.5400390625
2020-09-23,103.9035873413086,79.93079376220703,117.88591003417969,27.079620361328125,12359.16015625
2020-09-24,104.9705581665039,79.8618392944336,118.4134521484375,27.024497985839844,12365.5400390625
2020-09-25,108.90862274169922,80.55994415283203,119.01884460449219,27.276473999023438,12485.3798828125
2020-09-28,111.5081558227539,82.8784408569336,119.35614776611328,27.804058074951172,12677.5400390625
2020-09-29,110.66429901123047,82.18030548095703,118.70752716064453,26.992998123168945,12602.6396484375
2020-09-30,112.3326416015625,82.97322082519531,120.20368957519531,27.032371520996094,12701.8896484375
2020-10-01,113.28321075439453,83.57654571533203,120.41990661621094,26.087465286254883,12726.83984375
2020-10-02,109.62641906738281,84.36946868896484,119.45123291015625,25.969345092773438,12749.7900390625
2020-10-05,113.0019302368164,86.15274810791016,120.54962921142578,26.567792892456055,12949.650390625
2020-10-06,109.76219940185547,85.26547241210938,120.7398681640625,26.29219627380371,12837.8798828125
2020-10-07,111.62459564208984,86.75296783447266,121.6825180053711,26.378803253173828,13042.330078125
